#,,Q afluente invernada,Pp 2850,Pp 2550,Pp 2250,Pp 1950,Pp 1548,T 2850,T 2550,T 2250,T 1950,T 1548
1987,7,31,1191.80,1197.00,1202.10,1207.30,1214.30,-3.21,-1.97,-0.72,0.53,2.20
1987,8,26.6,507.90,510.10,512.30,514.50,517.50,-1.96,-0.71,0.53,1.78,3.45
1987,9,26.6,242.50,243.50,244.60,245.60,247.10,-0.18,1.12,2.41,3.70,5.44
1987,10,43.7,254.40,255.50,256.60,257.70,259.20,3.44,4.66,5.89,7.11,8.76
1987,11,89.9,1.50,1.50,1.50,1.60,1.60,5.64,7.06,8.47,9.89,11.79
1987,12,89.8,2.40,2.40,2.40,2.40,2.40,9.39,10.43,11.46,12.50,13.88
1988,1,60.9,0.00,0.00,0.00,0.00,0.00,11.33,12.25,13.17,14.09,15.33
1988,2,41.7,0.00,0.00,0.00,0.00,0.00,14.07,14.83,15.59,16.35,17.36
1988,3,33.4,61.60,61.80,62.10,62.40,62.70,11.10,11.82,12.54,13.25,14.22
1988,4,26.4,56.30,56.70,57.20,57.60,58.10,7.00,7.85,8.70,9.54,10.68
1988,5,24.7,105.30,106.10,106.80,107.60,108.70,1.64,2.62,3.60,4.58,5.90
1988,6,23.2,452.10,455.40,458.80,462.20,466.70,-1.70,-0.47,0.75,1.97,3.61
1988,7,21.5,273.70,275.70,277.70,279.80,282.50,-2.94,-1.80,-0.66,0.48,2.02
1988,8,21.4,566.50,570.70,574.90,579.10,584.80,-1.73,-0.63,0.47,1.57,3.05
1988,9,21.3,52.70,53.10,53.50,53.90,54.40,-0.16,1.04,2.24,3.45,5.06
1988,10,30.9,51.60,51.90,52.30,52.70,53.20,3.15,4.27,5.40,6.52,8.03
1988,11,63.3,14.00,14.10,14.20,14.30,14.50,5.46,6.83,8.19,9.56,11.40
1988,12,46.2,0.00,0.00,0.00,0.00,0.00,9.27,10.29,11.31,12.33,13.70
1989,1,30.6,5.10,5.20,5.20,5.30,5.30,12.07,13.05,14.03,15.01,16.33
1989,2,26.2,0.00,0.00,0.00,0.00,0.00,13.77,14.51,15.26,16.00,17.00
1989,3,21,12.10,12.20,12.30,12.40,12.50,10.94,11.64,12.35,13.05,14.00
1989,4,19.5,6.10,6.10,6.20,6.20,6.30,6.78,7.60,8.42,9.24,10.34
1989,5,18.4,62.40,62.90,63.30,63.80,64.40,1.85,2.95,4.06,5.16,6.64
1989,6,17.1,373.70,376.50,379.20,381.90,385.50,-1.69,-0.47,0.74,1.96,3.59
1989,7,16.3,364.60,367.20,369.90,372.50,376.10,-3.25,-1.99,-0.73,0.53,2.23
1989,8,17.8,353.60,356.20,358.80,361.30,364.80,-1.82,-0.66,0.49,1.65,3.20
1989,9,19.2,60.80,61.30,61.70,62.10,62.70,-0.18,1.12,2.41,3.70,5.44
1989,10,31.8,46.80,47.10,47.50,47.80,48.20,3.41,4.63,5.85,7.06,8.69
1989,11,58.2,5.60,5.70,5.70,5.70,5.80,5.68,7.11,8.53,9.96,11.87
1989,12,38.1,29.00,29.20,29.40,29.60,29.90,9.36,10.39,11.42,12.45,13.84
1990,1,26,5.60,5.70,5.70,5.70,5.80,11.63,12.58,13.52,14.47,15.73
1990,2,22.8,2.80,2.80,2.80,2.90,2.90,12.86,13.56,14.25,14.95,15.88
1990,3,21,317.30,319.60,321.90,324.20,327.30,10.64,11.32,12.01,12.70,13.62
1990,4,22.9,62.60,63.20,63.90,64.60,65.50,6.93,7.77,8.61,9.45,10.57
1990,5,21,162.60,164.40,166.10,167.80,170.10,1.72,2.75,3.78,4.80,6.18
1990,6,19,105.80,106.90,108.00,109.20,110.70,-1.64,-0.46,0.72,1.90,3.48
1990,7,17.4,168.80,170.60,172.40,174.20,176.60,-3.14,-1.92,-0.70,0.52,2.15
1990,8,18.6,127.90,129.30,130.70,132.00,133.90,-2.06,-0.75,0.56,1.87,3.63
1990,9,21.2,343.80,347.40,351.10,354.80,359.70,-0.19,1.18,2.55,3.91,5.75
1990,10,31.3,50.40,50.90,51.50,52.00,52.70,3.15,4.27,5.40,6.52,8.03
1990,11,42.5,74.90,75.70,76.50,77.30,78.40,5.00,6.26,7.51,8.77,10.46
