," ""CCCMA """"CGCM3"""" a"""," ""CCCMA """"CGCM3"""" b"""," ""GFDL """"CM2"""" a"""," ""GFDL """"CM2"""" b"""," ""GISS """"AOM"""" a"""," ""GISS """"AOM"""" b"""," ""historico mas futuro"""," ""MPI """"ECHAM5"""" a"""," ""MPI """"ECHAM5"""" b"""," ""MRI """"CGCM2.3.2."""" a"""," ""MRI """"CGCM2.3.2."""" b"""," ""NIES """"MIRO3.2."""" a"""," ""NIES """"MIRO3.2."""" b"""," ""UKMO """"HADCM3"""" a"""," ""UKMO """"HADCM3"""" b"""
Sep-29,1.04153,1.97391,1.37406,1.46769,2.09938,2.33842,1.32824,2.16809,0.889393,1.47438,1.85369,1.23477,2.00572,2.66905,1.89233
Oct-29,1.5747,2.78653,1.91399,1.40865,2.39445,3.01757,1.74166,2.9745,1.13585,1.86479,2.51553,1.91935,2.35775,3.10666,2.70809
Nov-29,2.36444,4.31193,2.59711,2.08191,3.55365,4.78822,2.68681,6.43344,1.63341,2.89824,3.58987,3.23345,4.34631,3.84566,4.98588
Dec-29,2.24422,4.59507,2.16309,2.04398,3.196,4.05879,2.29471,4.44388,1.35016,2.09674,3.70692,2.35015,3.617,3.47105,3.37632
Jan-30,1.46294,3.73548,1.63817,1.76619,2.54809,2.97939,1.65342,3.13666,1.06154,1.45919,3.14333,1.58481,2.71471,2.2423,2.46879
Feb-30,1.15132,2.34456,1.24543,1.28575,1.84116,2.04104,1.28537,2.09442,0.969181,1.19699,2.11348,1.22532,1.84649,1.70141,1.82796
Mar-30,0.805127,1.43893,0.980922,0.905257,1.34235,1.36516,0.988005,1.39254,0.726964,0.79836,1.45195,0.897164,1.19096,1.14912,1.19801
Apr-30,0.681248,1.34713,0.798247,1.56958,1.16375,1.1163,0.815823,1.51589,1.47438,0.794019,1.06806,0.739999,1.08407,0.924955,1.1783
May-30,0.729,1.33761,0.777738,2.43621,1.37509,1.50143,1.11244,1.56699,2.01971,1.33199,0.886324,1.03515,1.42743,1.34812,1.91783
Jun-30,1.19756,1.16528,1.04054,1.63658,1.21076,1.92472,1.20243,1.99372,2.20664,1.57155,2.27945,1.30028,1.87284,1.25829,2.0028
Jul-30,3.10369,1.21935,1.19981,1.62972,2.09444,1.38449,1.46739,2.04384,3.04797,1.49969,2.18945,1.32316,3.12373,2.06837,2.0508
Aug-30,2.39652,1.52191,1.42846,1.43708,1.98689,1.91923,1.4359,2.0126,2.93408,1.46028,2.51556,1.4397,2.19318,2.2067,2.04594
Sep-30,1.84622,1.50386,1.31985,1.84908,1.79959,1.83248,1.35798,1.85312,2.29366,1.6109,2.05649,1.35877,2.29924,1.99003,2.21987
Oct-30,2.36834,1.79818,1.71439,2.10792,2.63955,2.97821,2.03171,2.41965,3.87286,1.88703,2.56678,2.4918,2.60343,2.77222,2.50011
Nov-30,4.6015,4.25718,3.19057,5.31712,3.52862,5.5955,2.85686,4.12188,5.75506,3.46947,5.36142,4.53579,4.1164,4.12524,3.51545
Dec-30,3.81189,4.12573,2.48826,5.62187,2.8167,4.02894,2.43703,3.07625,4.1812,4.13852,4.20533,3.45398,4.29785,3.2436,3.03374
Jan-31,3.04244,3.2833,1.76569,4.73905,2.10756,2.84997,1.92035,2.20004,2.94207,3.25662,2.94903,2.35796,2.70039,2.31459,2.03486
Feb-31,2.13523,2.121,1.34292,2.85019,1.50538,2.02653,1.44861,1.5809,2.01349,2.17345,1.9858,1.76017,1.84525,1.61748,1.50695
Mar-31,1.35828,1.37964,0.942178,1.73957,1.0057,1.33045,1.01722,1.02786,1.31297,1.61848,1.26553,1.32282,1.18024,1.05328,1.0078
Apr-31,1.36558,1.211,0.797134,1.77108,0.827332,1.04042,0.855635,0.919035,1.02629,1.22384,1.02029,1.19978,1.10453,1.07168,0.847581
May-31,1.64463,1.61944,1.55701,1.9245,0.86253,1.13509,0.782679,1.95104,1.40188,2.3652,1.24632,1.12354,2.9267,1.14153,1.23258
Jun-31,1.46005,1.79055,1.69624,1.7447,0.928203,1.67391,0.812544,1.85528,1.92419,1.97466,1.2008,1.09853,1.94066,1.33997,1.22468
Jul-31,2.38555,1.56598,1.64763,1.34317,0.943195,2.18133,1.00891,2.83132,2.38703,2.29088,2.30682,1.2366,2.23227,2.16861,1.21624
Aug-31,2.94946,1.62607,1.5577,1.17487,1.0942,2.86107,1.191,2.64718,1.95144,1.84367,1.56807,1.55125,1.85288,1.93332,1.14371
Sep-31,3.31037,1.49954,1.48263,1.08686,1.7999,2.94588,1.29381,2.20038,2.07751,1.69391,1.70836,1.52642,1.9267,1.67835,1.533
Oct-31,2.35024,1.55877,1.58234,1.43524,2.44508,3.36325,1.64623,2.78177,2.86948,3.24311,3.39731,2.23537,3.09165,1.98058,2.22892
