Date,CCCMA1,CCCMA2,GFDL1,GFDL2,GISS1,GISS2,MPI1,MPI2,MRI1,MRI2,NIES1,NIES2,UKMO1,UKMO2
2029-08-01,112.5351375,340.1392404,163.2725598,280.7026196,206.4346663,222.2182141,459.365257,177.8354839,361.6940168,157.7783569,187.4554847,176.645518,450.8017536,635.9432963
2029-09-01,305.6992249,341.5337716,169.1818936,163.6973658,223.9651266,235.0290435,417.9898681,120.0351108,333.1808471,255.986802,189.0921694,221.0211105,421.4682301,262.2264472
2029-10-01,216.8155134,355.9846612,230.4802412,183.9618857,257.7757943,328.7773684,375.0394181,148.9527229,297.8328328,288.5261172,239.5569549,272.0216341,354.5155217,284.3016297
2029-11-01,292.3256108,398.3839198,310.6530303,260.2776006,362.7491153,403.3837681,474.7613475,209.1937122,388.7856505,351.9083235,345.5362706,391.476523,376.0456156,407.5708312
2029-12-01,287.4492936,396.3937222,290.522102,258.7186045,353.6738073,404.3186255,409.5820466,173.4130244,342.0115288,352.9855231,311.2121256,374.1335212,408.3929478,349.2508639
2030-01-01,193.0454026,411.0852644,244.9963329,230.931702,339.6586118,412.2345339,409.4634292,150.9714352,268.5314492,358.4755624,274.5946404,347.4785998,390.1285734,330.7754766
2030-02-01,161.5798447,413.6174047,179.9778846,193.6901256,314.70662,329.4871769,407.7260343,147.4606266,246.3108804,323.9460244,236.2473498,308.8191612,326.5099123,307.8114837
2030-03-01,101.3839842,239.5197087,135.6425725,122.7120728,213.8670087,219.5065509,242.6450139,92.92162076,299.1775852,218.9243145,153.8900227,187.2605855,198.2348921,189.5164471
2030-04-01,97.34883049,202.2248623,114.2693239,316.1510467,173.554252,165.9604602,230.2560288,302.8052872,130.9618536,152.6479872,105.4454004,163.9361061,151.4146084,175.3832902
2030-05-01,126.4715769,190.4238282,104.1389146,253.1790534,175.0318201,203.7364416,283.1763572,230.1160704,184.3104317,111.3759026,208.8743615,414.1108804,556.3705452,440.724844
