#,,Pp Banda 1,Pp Banda 2,Pp Banda 3,Pp Banda 4,Pp Banda 5,Pp Banda 6,Pp Banda 7,Pp Banda 8
2001,10,352,343.8,335.5,327.2,319,310.7,302.4,294.2
2001,11,224.5,219.2,213.9,208.7,203.4,198.1,192.8,187.6
2001,12,0,0,0,0,0,0,0,0
2002,1,53.6,52.4,51.1,49.9,48.6,47.3,46.1,44.8
2002,2,4.4,4.3,4.2,4.1,4,3.9,3.8,3.7
2002,3,3.3,3.2,3.2,3.1,3,2.9,2.9,2.8
2002,4,68.5,67,65.6,64.1,62.6,61.1,59.7,58.2
2002,5,283,276.9,270.8,264.7,258.6,252.5,246.4,240.3
2002,6,498.6,487.8,477.1,466.3,455.6,444.9,434.1,423.4
2002,7,759.2,742.8,726.5,710.1,693.7,677.4,661,644.6
2002,8,453,443.2,433.5,423.7,413.9,404.2,394.4,384.6
2002,9,48.5,47.5,46.4,45.4,44.3,43.3,42.2,41.2
2002,10,0,0,0,0,0,0,0,0
2002,11,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3
2002,12,257.2,251.7,246.2,240.6,235.1,229.5,224,218.4
2003,1,20.8,20.4,19.9,19.5,19,18.6,18.1,17.7
2003,2,11.1,10.9,10.7,10.4,10.2,9.9,9.7,9.5
2003,3,18.2,17.8,17.4,17,16.6,16.2,15.9,15.5
2003,4,64.5,63.5,62.5,61.5,60.6,59.6,58.6,57.6
2003,5,0,0,0,0,0,0,0,0
2003,6,344.3,339,333.7,328.4,323.2,317.9,312.6,307.3
2003,7,1508.7,1485.5,1462.3,1439.1,1415.9,1392.7,1369.5,1346.3
