#,,Pp Banda 1,Pp Banda 2,Pp Banda 3,Pp Banda 4,Pp Banda 5,Pp Banda 6,Pp Banda 7,Pp Banda 8
1999,11,2.8,2.7,2.7,2.6,2.5,2.4,2.3,2.2
1999,12,0,0,0,0,0,0,0,0
2000,1,28.1,27.2,26.4,25.6,24.8,24,23.2,22.3
2000,2,0,0,0,0,0,0,0,0
2000,3,17.2,16.7,16.2,15.7,15.2,14.7,14.2,13.7
2000,4,48.1,47.2,46.2,45.3,44.4,43.5,42.6,41.7
2000,5,178.4,175,171.6,168.2,164.8,161.4,158,154.6
2000,6,945.8,927.8,909.7,891.7,873.6,855.6,837.5,819.5
2000,7,1210.2,1187.1,1164,1140.9,1117.8,1094.7,1071.6,1048.5
2000,8,217.1,213,208.8,204.7,200.5,196.4,192.3,188.1
2000,9,83.4,81.8,80.3,78.7,77.1,75.5,73.9,72.3
2000,10,30.6,30,29.4,28.8,28.2,27.7,27.1,26.5
2000,11,6.2,6.1,6,5.9,5.8,5.7,5.5,5.4
2000,12,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
2001,1,0,0,0,0,0,0,0,0
2001,2,1.4,1.3,1.3,1.3,1.3,1.2,1.2,1.2
2001,3,10,9.8,9.6,9.4,9.2,9.1,8.9,8.7
2001,4,0,0,0,0,0,0,0,0
2001,5,0,0,0,0,0,0,0,0
2001,6,609.1,597.5,585.9,574.3,562.7,551,539.4,527.8
2001,7,1120.1,1098.8,1077.4,1056.1,1034.7,1013.4,992,970.7
2001,8,325.9,319.7,313.5,307.3,301.1,294.9,288.6,282.4
2001,9,498.1,488.6,479.1,469.6,460.1,450.6,441.1,431.6
2001,10,73.7,72.3,70.9,69.5,68,66.6,65.2,63.8
2001,11,0,0,0,0,0,0,0,0
2001,12,50.4,49.5,48.5,47.5,46.6,45.6,44.6,43.7
2002,1,30.3,29.7,29.1,28.5,27.9,27.4,26.8,26.2
2002,2,12.6,12.4,12.1,11.9,11.7,11.4,11.2,10.9
2002,3,15,14.7,14.4,14.1,13.9,13.6,13.3,13
2002,4,231.2,227.5,223.8,220.2,216.5,212.8,209.2,205.5
2002,5,343.5,338,332.6,327.1,321.7,316.3,310.8,305.4
2002,6,1375.4,1353.6,1331.9,1310.1,1288.3,1266.5,1244.7,1222.9
2002,7,884.4,870.4,856.4,842.4,828.4,814.4,800.4,786.4
2002,8,76.5,75.3,74.1,72.9,71.7,70.5,69.2,68
2002,9,172.5,169.8,167.1,164.3,161.6,158.9,156.2,153.4
2002,10,71.8,70.6,69.5,68.4,67.2,66.1,65,63.8
2002,11,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
2002,12,69.1,68,66.9,65.8,64.7,63.6,62.5,61.4
2003,1,0,0,0,0,0,0,0,0
2003,2,0,0,0,0,0,0,0,0
2003,3,67.3,66.3,65.2,64.1,63.1,62,60.9,59.9
2003,4,82.1,80.3,78.4,76.6,74.8,72.9,71.1,69.2
2003,5,241.9,236.4,231,225.5,220.1,214.7,209.2,203.8
2003,6,458.8,448.5,438.2,427.9,417.5,407.2,396.9,386.6
